,Name,ID,Age,Nationality,Overall,Potential,primary_pos
0,Cristiano Ronaldo,20801,32,Portugal,94,94,ST
1,L. Messi,158023,30,Argentina,93,93,RW
2,Neymar,190871,25,Brazil,92,94,LW
3,L. Suárez,176580,30,Uruguay,92,92,ST
4,M. Neuer,167495,31,Germany,92,92,GK
5,R. Lewandowski,188545,28,Poland,91,91,ST
6,De Gea,193080,26,Spain,90,92,GK
7,E. Hazard,183277,26,Belgium,90,91,LW
8,T. Kroos,182521,27,Germany,90,90,CDM
9,G. Higuaín,167664,29,Argentina,90,90,ST
10,Sergio Ramos,155862,31,Spain,90,90,CB
11,K. De Bruyne,192985,26,Belgium,89,92,RM
12,T. Courtois,192119,25,Belgium,89,92,GK
13,A. Sánchez,184941,28,Chile,89,89,RM
14,L. Modrić,177003,31,Croatia,89,89,CDM
15,G. Bale,173731,27,Wales,89,89,RW
16,S. Agüero,153079,29,Argentina,89,89,ST
17,G. Chiellini,138956,32,Italy,89,89,CB
18,G. Buffon,1179,39,Italy,89,89,GK
19,P. Dybala,211110,23,Argentina,88,93,ST
20,J. Oblak,200389,24,Slovenia,88,93,GK
21,A. Griezmann,194765,26,France,88,91,LW
22,Thiago,189509,26,Spain,88,90,CDM
23,P. Aubameyang,188567,28,Gabon,88,88,ST
24,L. Bonucci,184344,30,Italy,88,88,CB
25,J. Boateng,183907,28,Germany,88,88,CB
26,D. Godín,182493,31,Uruguay,88,88,CB
27,M. Hummels,178603,28,Germany,88,88,CB
28,M. Özil,176635,28,Germany,88,88,RW
29,H. Lloris,167948,30,France,88,88,GK
30,Thiago Silva,164240,32,Brazil,88,88,CB
31,Z. Ibrahimović,41236,35,Sweden,88,88,ST
32,A. Robben,9014,33,Netherlands,88,88,RW
33,N. Kanté,215914,26,France,87,90,CM
34,M. Verratti,199556,24,Italy,87,91,CDM
35,P. Pogba,195864,24,France,87,92,CDM
36,C. Eriksen,190460,25,Denmark,87,91,LM
37,A. Vidal,181872,30,Chile,87,87,CM
38,E. Cavani,179813,30,Uruguay,87,87,ST
39,Marcelo,176676,29,Brazil,87,87,LB
40,M. Hamšík,171877,29,Slovakia,87,87,CM
41,I. Rakitić,168651,29,Croatia,87,87,CM
42,David Silva,168542,31,Spain,87,87,LM
43,S. Handanovič,162835,32,Slovenia,87,87,GK
44,Piqué,152729,30,Spain,87,87,CB
45,Iniesta,41,33,Spain,87,87,LM
46,H. Kane,202126,23,England,86,90,ST
47,J. Rodríguez,198710,25,Colombia,86,89,RM
48,Isco,197781,25,Spain,86,90,LM
49,D. Alaba,197445,25,Austria,86,88,CM
50,R. Lukaku,192505,24,Belgium,86,90,ST
51,Alex Sandro,191043,26,Brazil,86,88,LM
52,T. Müller,189596,27,Germany,86,86,ST
53,Sergio Busquets,189511,28,Spain,86,86,CM
54,Coutinho,189242,25,Brazil,86,89,CAM
55,M. Reus,188350,28,Germany,86,86,LW
56,T. Alderweireld,184087,28,Belgium,86,87,CB
57,David Luiz,179944,30,Brazil,86,86,CB
58,Diego Costa,179844,28,Spain,86,86,ST
59,R. Nainggolan,178518,29,Belgium,86,86,CAM
60,Javi Martínez,177610,28,Spain,86,86,CDM
61,D. Mertens,175943,30,Belgium,86,86,ST
62,Sokratis,172879,29,Greece,86,86,CB
63,Miranda,168609,32,Brazil,86,86,CB
64,K. Benzema,165153,29,France,86,86,ST
65,Cesc Fàbregas,162895,30,Spain,86,86,CAM
66,F. Ribéry,156616,34,France,86,86,LW
67,Pepe,120533,34,Portugal,86,86,CB
68,P. Čech,48940,35,Czech Republic,86,86,GK
69,Y. Carrasco,208418,23,Belgium,85,90,RM
70,R. Varane,201535,24,France,85,92,CB
71,Casemiro,200145,25,Brazil,85,89,CDM
72,L. Insigne,198219,26,Italy,85,86,LW
73,A. Lacazette,193301,26,France,85,88,ST
74,K. Navas,193041,30,Costa Rica,85,85,GK
75,H. Mkhitaryan,192883,28,Armenia,85,85,LM
76,D. Subašić,192593,32,Croatia,85,85,GK
77,B. Leno,192563,25,Germany,85,88,GK
78,M. ter Stegen,192448,25,Germany,85,89,GK
79,K. Glik,190547,29,Poland,85,85,CB
80,Jordi Alba,189332,28,Spain,85,85,LB
81,I. Gündoğan,186942,26,Germany,85,87,CDM
82,Azpilicueta,184432,27,Spain,85,87,LB
83,A. Di María,183898,29,Argentina,85,85,LW
84,M. Pjanić,180206,27,Bosnia Herzegovina,85,86,CDM
85,C. Marchisio,173210,31,Italy,85,85,CDM
86,J. Vertonghen,172871,30,Belgium,85,85,CB
87,B. Matuidi,170890,30,France,85,85,CM
88,S. Ruffier,167628,30,France,85,85,GK
89,Filipe Luís,164169,31,Brazil,85,85,LB
90,V. Kompany,139720,31,Belgium,85,85,CB
91,A. Barzagli,137186,36,Italy,85,85,CB
92,E. Bailly,225508,23,Ivory Coast,84,89,CB
93,Marco Asensio,220834,21,Spain,84,92,LW
94,Bernardo Silva,218667,22,Portugal,84,91,RM
95,A. Laporte,212218,23,France,84,89,CB
96,D. Alli,211117,21,England,84,90,LM
97,S. Mané,208722,25,Senegal,84,87,LW
98,Carvajal,204963,25,Spain,84,87,RB
99,J. Draxler,202166,23,Germany,84,87,LM
100,M. Icardi,201399,24,Argentina,84,89,ST
101,Morata,201153,24,Spain,84,88,ST
102,K. Koulibaly,201024,26,Senegal,84,87,CB
103,T. Horn,200316,24,Germany,84,90,GK
104,Koke,193747,25,Spain,84,88,LM
105,K. Manolas,192774,26,Greece,84,86,CB
106,S. Mustafi,192227,25,Germany,84,86,CB
107,Ander Herrera,191740,27,Spain,84,84,CDM
108,K. Strootman,189712,27,Netherlands,84,85,CDM
109,Pedro,189505,29,Spain,84,84,LW
110,R. Bürki,189117,26,Switzerland,84,86,GK
111,Bruno,184120,33,Spain,84,84,CDM
112,I. Perišić,181458,28,Croatia,84,84,CAM
113,E. Džeko,180930,31,Bosnia Herzegovina,84,84,ST
114,Willian,180403,28,Brazil,84,84,CAM
115,S. Khedira,179846,30,Germany,84,84,CDM
116,R. Fährmann,179783,28,Germany,84,85,GK
117,Sergio Asenjo,178750,28,Spain,84,85,GK
118,Juan Mata,178088,29,Spain,84,84,RM
119,M. Benatia,177509,30,Morocco,84,84,CB
120,D. Payet,177388,30,France,84,84,CAM
121,Falcao,167397,31,Colombia,84,84,ST
122,L. Koscielny,165229,31,France,84,84,CB
123,G. Cahill,164468,31,England,84,84,CB
124,Dani Alves,146530,34,Brazil,84,84,RB
125,A. Gómez,143076,29,Argentina,84,84,ST
126,Aduriz,106231,36,Spain,84,84,ST
127,K. Mbappé,231747,18,France,83,94,ST
128,O. Dembélé,231443,20,France,83,92,CAM
129,N. Keïta,220971,22,Guinea,83,88,CAM
130,J. Giménez,216460,22,Uruguay,83,87,CB
131,G. Rulli,215316,25,Argentina,83,89,GK
132,T. Lemar,213565,21,France,83,91,LM
133,João Mário,212814,24,Portugal,83,88,CAM
134,N. Süle,212190,21,Germany,83,89,CB
135,Ederson,210257,23,Brazil,83,89,GK
136,Fabinho,209499,23,Brazil,83,88,CDM
137,M. Salah,209331,25,Egypt,83,86,RW
138,A. Belotti,208596,23,Italy,83,90,ST
139,E. Forsberg,208448,25,Sweden,83,85,LM
140,Marquinhos,207865,23,Brazil,83,89,CB
141,William Carvalho,207566,25,Portugal,83,86,CM
142,S. Umtiti,205600,23,France,83,88,CB
143,R. Mahrez,204485,26,Algeria,83,84,RM
144,V. van Dijk,203376,25,Netherlands,83,86,CB
145,Roberto Firmino,201942,25,Brazil,83,87,CAM
146,Danilo Pereira,200888,25,Portugal,83,86,CM
147,Vitolo,199715,27,Spain,83,83,RM
148,A. Lopes,199482,26,Portugal,83,86,GK
149,S. de Vrij,198176,25,Netherlands,83,88,CB
150,M. Perin,198009,24,Italy,83,88,GK
151,J. Matip,197061,25,Cameroon,83,85,CB
152,I. Gueye,193474,27,Senegal,83,84,CM
153,Iago Aspas,192629,29,Spain,83,83,RW
154,N. Otamendi,192366,29,Argentina,83,83,CB
155,N. Matić,191202,28,Serbia,83,83,CM
156,J. Pastore,191180,28,Argentina,83,83,RW
157,Parejo,189513,28,Spain,83,83,CDM
158,S. Kagawa,189358,28,Japan,83,83,ST
159,G. Bonaventura,189125,27,Italy,83,83,LW
160,B. Dost,189068,28,Netherlands,83,83,ST
161,K. Walker,188377,27,England,83,84,RWB
162,Oscar,188152,25,Brazil,83,86,CAM
163,S. N'Zonzi,187936,28,France,83,83,CM
