,Name,ID,Age,Nationality,primary_pos,Value
0,Cristiano Ronaldo,20801,32,Portugal,ST,95500000
1,L. Messi,158023,30,Argentina,RW,105000000
2,Neymar,190871,25,Brazil,LW,123000000
3,L. Suárez,176580,30,Uruguay,ST,97000000
4,M. Neuer,167495,31,Germany,GK,61000000
5,R. Lewandowski,188545,28,Poland,ST,92000000
6,De Gea,193080,26,Spain,GK,64500000
7,E. Hazard,183277,26,Belgium,LW,90500000
8,T. Kroos,182521,27,Germany,CDM,79000000
9,G. Higuaín,167664,29,Argentina,ST,77000000
10,Sergio Ramos,155862,31,Spain,CB,52000000
11,K. De Bruyne,192985,26,Belgium,RM,83000000
12,T. Courtois,192119,25,Belgium,GK,59000000
13,A. Sánchez,184941,28,Chile,RM,67500000
14,L. Modrić,177003,31,Croatia,CDM,57000000
15,G. Bale,173731,27,Wales,RW,69500000
16,S. Agüero,153079,29,Argentina,ST,66500000
17,G. Chiellini,138956,32,Italy,CB,38000000
18,G. Buffon,1179,39,Italy,GK,4500000
19,P. Dybala,211110,23,Argentina,ST,79000000
20,J. Oblak,200389,24,Slovenia,GK,57000000
21,A. Griezmann,194765,26,France,LW,75000000
22,Thiago,189509,26,Spain,CDM,70500000
23,P. Aubameyang,188567,28,Gabon,ST,61000000
24,L. Bonucci,184344,30,Italy,CB,44000000
25,J. Boateng,183907,28,Germany,CB,48000000
26,D. Godín,182493,31,Uruguay,CB,40000000
27,M. Hummels,178603,28,Germany,CB,48000000
28,M. Özil,176635,28,Germany,RW,60000000
29,H. Lloris,167948,30,France,GK,38000000
30,Thiago Silva,164240,32,Brazil,CB,34000000
31,Z. Ibrahimović,41236,35,Sweden,ST,27000000
32,A. Robben,9014,33,Netherlands,RW,36000000
33,N. Kanté,215914,26,France,CM,52500000
34,M. Verratti,199556,24,Italy,CDM,64500000
35,P. Pogba,195864,24,France,CDM,66500000
36,C. Eriksen,190460,25,Denmark,LM,65000000
37,A. Vidal,181872,30,Chile,CM,37500000
38,E. Cavani,179813,30,Uruguay,ST,48500000
39,Marcelo,176676,29,Brazil,LB,38000000
40,M. Hamšík,171877,29,Slovakia,CM,48500000
41,I. Rakitić,168651,29,Croatia,CM,48500000
