,Name,ID,Age,Nationality,primary_pos,Overall,Potential,Salary,Club
0,Cristiano Ronaldo,20801,32,Portugal,ST,94,94,565000,Real Madrid CF
1,L. Messi,158023,30,Argentina,RW,93,93,565000,FC Barcelona
2,Neymar,190871,25,Brazil,LW,92,94,280000,Paris Saint-Germain
3,L. Suárez,176580,30,Uruguay,ST,92,92,510000,FC Barcelona
4,M. Neuer,167495,31,Germany,GK,92,92,230000,FC Bayern Munich
5,R. Lewandowski,188545,28,Poland,ST,91,91,355000,FC Bayern Munich
6,De Gea,193080,26,Spain,GK,90,92,215000,Manchester United
7,E. Hazard,183277,26,Belgium,LW,90,91,295000,Chelsea
8,T. Kroos,182521,27,Germany,CDM,90,90,340000,Real Madrid CF
9,G. Higuaín,167664,29,Argentina,ST,90,90,275000,Juventus
10,Sergio Ramos,155862,31,Spain,CB,90,90,310000,Real Madrid CF
11,K. De Bruyne,192985,26,Belgium,RM,89,92,285000,Manchester City
12,T. Courtois,192119,25,Belgium,GK,89,92,190000,Chelsea
13,A. Sánchez,184941,28,Chile,RM,89,89,265000,Arsenal
14,L. Modrić,177003,31,Croatia,CDM,89,89,340000,Real Madrid CF
15,G. Bale,173731,27,Wales,RW,89,89,370000,Real Madrid CF
16,S. Agüero,153079,29,Argentina,ST,89,89,325000,Manchester City
17,G. Chiellini,138956,32,Italy,CB,89,89,225000,Juventus
18,G. Buffon,1179,39,Italy,GK,89,89,110000,Juventus
19,P. Dybala,211110,23,Argentina,ST,88,93,215000,Juventus
20,J. Oblak,200389,24,Slovenia,GK,88,93,82000,Atlético Madrid
21,A. Griezmann,194765,26,France,LW,88,91,150000,Atlético Madrid
22,Thiago,189509,26,Spain,CDM,88,90,225000,FC Bayern Munich
23,P. Aubameyang,188567,28,Gabon,ST,88,88,165000,Borussia Dortmund
24,L. Bonucci,184344,30,Italy,CB,88,88,210000,Milan
25,J. Boateng,183907,28,Germany,CB,88,88,215000,FC Bayern Munich
26,D. Godín,182493,31,Uruguay,CB,88,88,125000,Atlético Madrid
27,M. Hummels,178603,28,Germany,CB,88,88,215000,FC Bayern Munich
28,M. Özil,176635,28,Germany,RW,88,88,265000,Arsenal
29,H. Lloris,167948,30,France,GK,88,88,165000,Tottenham Hotspur
30,Thiago Silva,164240,32,Brazil,CB,88,88,175000,Paris Saint-Germain
31,Z. Ibrahimović,41236,35,Sweden,ST,88,88,240000,Manchester United
32,A. Robben,9014,33,Netherlands,RW,88,88,225000,FC Bayern Munich
33,N. Kanté,215914,26,France,CM,87,90,190000,Chelsea
34,M. Verratti,199556,24,Italy,CDM,87,91,130000,Paris Saint-Germain
35,P. Pogba,195864,24,France,CDM,87,92,195000,Manchester United
36,C. Eriksen,190460,25,Denmark,LM,87,91,165000,Tottenham Hotspur
37,A. Vidal,181872,30,Chile,CM,87,87,160000,FC Bayern Munich
38,E. Cavani,179813,30,Uruguay,ST,87,87,160000,Paris Saint-Germain
39,Marcelo,176676,29,Brazil,LB,87,87,250000,Real Madrid CF
40,M. Hamšík,171877,29,Slovakia,CM,87,87,130000,Napoli
41,I. Rakitić,168651,29,Croatia,CM,87,87,275000,FC Barcelona
42,David Silva,168542,31,Spain,LM,87,87,220000,Manchester City
43,S. Handanovič,162835,32,Slovenia,GK,87,87,91000,Inter
44,Piqué,152729,30,Spain,CB,87,87,240000,FC Barcelona
45,Iniesta,41,33,Spain,LM,87,87,260000,FC Barcelona
46,H. Kane,202126,23,England,ST,86,90,165000,Tottenham Hotspur
47,J. Rodríguez,198710,25,Colombia,RM,86,89,250000,FC Bayern Munich
48,Isco,197781,25,Spain,LM,86,90,250000,Real Madrid CF
49,D. Alaba,197445,25,Austria,CM,86,88,150000,FC Bayern Munich
50,R. Lukaku,192505,24,Belgium,ST,86,90,210000,Manchester United
51,Alex Sandro,191043,26,Brazil,LM,86,88,175000,Juventus
52,T. Müller,189596,27,Germany,ST,86,86,190000,FC Bayern Munich
53,Sergio Busquets,189511,28,Spain,CM,86,86,250000,FC Barcelona
54,Coutinho,189242,25,Brazil,CAM,86,89,205000,Liverpool
55,M. Reus,188350,28,Germany,LW,86,86,120000,Borussia Dortmund
56,T. Alderweireld,184087,28,Belgium,CB,86,87,165000,Tottenham Hotspur
